Pegelname,,Pegelnummer,km,,PNP,Datum,,Uhrzeit,,Wasserstand,Wasserstand + PNP,,,
,,,,,,,,,,relativ zum PNP,absolut über Null,,,
CUXHAVEN STEUBENHÖFT,,5990020,"724,00",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,695 cm,"1,92 m. ü. NHN",,,
 ELBE-HAVEL-KANAL,,,,,,,,,,,,,,
DETERSHAGEN,,587505,"326,83",,"34,42 m. ü. NHN",23.11.2024,,5:00,,301 cm,"37,43 m. ü. NHN",,,
BURG,,587507,"332,54",,"34,41 m. ü. NHN",23.11.2024,,5:00,,301 cm,"37,42 m. ü. NHN",,,
ZERBEN OP,,587510,"344,69",,"34,41 m. ü. NHN",23.11.2024,,5:00,,301 cm,"37,42 m. ü. NHN",,,
ZERBEN UP,,587520,"346,16",,"29,21 m. ü. NHN",23.11.2024,,5:00,,305 cm,"32,26 m. ü. NHN",,,
GENTHIN,,587535,"361,44",,"29,21 m. ü. NHN",23.11.2024,,5:00,,303 cm,"32,24 m. ü. NHN",,,
KADE,,587541,"371,29",,"29,22 m. ü. NHN",23.11.2024,,5:00,,303 cm,"32,25 m. ü. NHN",,,
WUSTERWITZ OP,,587540,"376,56",,"29,22 m. ü. NHN",23.11.2024,,5:00,,303 cm,"32,25 m. ü. NHN",,,
WUSTERWITZ UP,,587550,"376,96",,"25,22 m. ü. NHN",23.11.2024,,5:00,,294 cm,"28,16 m. ü. NHN",,,
 ELBE-LÜBECK-KANAL,,,,,,,,,,,,,,
BÜSSAU UP,,9669040,"3,40",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,504 cm,"0,02 m. ü. NHN",,,
DONNERSCHLEUSE OP,,9660049,"20,72",,"0,03 m. ü. NHN",23.11.2024,,5:03,,1165 cm,"11,68 m. ü. NHN",,,
MÖLLN,,9660050,"26,77",,"0,01 m. ü. NHN",23.11.2024,,5:03,,1167 cm,"11,68 m. ü. NHN",,,
 ELBESEITENKANAL,,,,,,,,,,,,,,
OSLOSS,,90100100,"9,72",,,23.11.2024,,4:00,,,"65,11 m+NN",,,
WITTINGEN,,90100101,"39,00",,,23.11.2024,,4:00,,,"65,19 m+NN",,,
UELZEN OW,,90100111,"60,38",,,23.11.2024,,4:00,,,"65,13 m+NN",,,
UELZEN UW,,90100110,"60,98",,,23.11.2024,,4:00,,,"42,02 m+NN",,,
BEVENSEN,,90100112,"79,72",,,23.11.2024,,4:00,,,"42,03 m+NN",,,
LÜNEBURG OW,,90100121,"104,00",,,23.11.2024,,4:00,,,"42,01 m+NN",,,
LÜNEBURG UW,,90100120,"106,30",,,23.11.2024,,4:00,,,"4,28 m+NN",,,
ARTLENBURG-ELK,,90100122,"114,74",,,23.11.2024,,4:00,,,"4,40 m+NN",,,
 EMS,,,,,,,,,,,,,,
HERBRUM OBERWASSER,,26358,,,,23.11.2024,,5:00,,272 cm,,,,
HERBRUM UNTERWASSER,,26775,,,,23.11.2024,,5:00,,762 cm,,,,
VERSEN WEHR OP,,3730001,,,"8,02 m. ü. NHN",23.11.2024,,5:00,,222 cm,"10,24 m. ü. NHN",,,
PAPENBURG,,3790010,"0,39",,"-5,06 m. ü. NHN",23.11.2024,,5:03,,745 cm,"2,39 m. ü. NHN",,,
WEENER,,3790020,"6,85",,"-5,06 m. ü. NHN",23.11.2024,,5:03,,740 cm,"2,35 m. ü. NHN",,,
LEERORT,,3910010,"14,79",,"-5,04 m. ü. NHN",23.11.2024,,5:03,,736 cm,"2,32 m. ü. NHN",,,
TERBORG,,3910020,"24,67",,"-5,05 m. ü. NHN",23.11.2024,,5:03,,724 cm,"2,19 m. ü. NHN",,,
POGUM,,3950020,"35,30",,"-5,05 m. ü. NHN",23.11.2024,,5:03,,710 cm,"2,05 m. ü. NHN",,,
EMDEN NEUE SEESCHLEUSE,,3970010,"40,45",,"-5,01 m. ü. NHN",23.11.2024,,5:03,,691 cm,"1,90 m. ü. NHN",,,
KNOCK,,3990010,"50,85",,"-5,11 m. ü. NHN",23.11.2024,,5:03,,685 cm,"1,74 m. ü. NHN",,,
DUKEGAT,,3990020,"65,69",,"-5,07 m. ü. NHN",23.11.2024,,5:03,,646 cm,"1,39 m. ü. NHN",,,
EMSHÖRN,,9340010,"74,32",,"-5,10 m. ü. NHN",23.11.2024,,5:03,,632 cm,"1,22 m. ü. NHN",,,
WACHENDORF,,3500031,"96,71",,"13,77 m. ü. NHN",23.11.2024,,5:00,,278 cm,"16,55 m. ü. NHN",,,
FUESTRUP,,3310010,"102,18",,"35,69 m. ü. NN",23.11.2024,,5:00,,346 cm,"39,15 m. ü. NN",,,
RHEINE UNTERSCHLEUSE,,3390020,"153,03",,"24,19 m. ü. NHN",23.11.2024,,5:00,,423 cm,"28,42 m. ü. NHN",,,
LINGEN-DARME,,3500015,"196,20",,"14,98 m. ü. NN",23.11.2024,,5:00,,343 cm,"18,41 m. ü. NN",,,
DALUM,,3550040,"212,04",,"12,39 m. ü. NHN",23.11.2024,,5:00,,278 cm,"15,17 m. ü. NHN",,,
RÜHLE,,3500070,"223,10",,"9,36 m. ü. NHN",23.11.2024,,5:00,,235 cm,"11,71 m. ü. NHN",,,
VERSEN WEHRDURCHSTICH,,3730010,"234,78",,"6,71 m. ü. NHN",23.11.2024,,5:00,,230 cm,"9,01 m. ü. NHN",,,
 ESTE,,,,,,,,,,,,,,
BUXTEHUDE,,5950080,"0,71",,"-5,04 m. ü. NHN",23.11.2024,,5:03,,532 cm,"0,28 m. ü. NHN",,,
ESTE INNERES SPERRWERK BP,,5950081,"1,00",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,580 cm,"0,77 m. ü. NHN",,,
ESTE INNERES SPERRWERK AP,,5950082,"1,00",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,583 cm,"0,79 m. ü. NHN",,,
 FINOWKANAL,,,,,,,,,,,,,,
RUHLSDORF OP,,693010,"59,20",,"34,53 m. ü. NHN",23.11.2024,,5:00,,Picture,"37,43 m. ü. NHN",,,
,,,,,,,,,,290 cm,,,,
LEESENBRÜCK OP,,693030,"61,10",,"32,34 m. ü. NHN",23.11.2024,,5:00,,316 cm,"35,49 m. ü. NHN",,,
GRAFENBRÜCK OP,,693050,"63,30",,"28,55 m. ü. NHN",23.11.2024,,5:00,,445 cm,"33,00 m. ü. NHN",,,
EBERSWALDE OP,,693170,"77,90",,"8,12 m. ü. NHN",23.11.2024,,5:00,,414 cm,"12,26 m. ü. NHN",,,
RAGÖSE OP,,693190,"81,00",,"5,64 m. ü. NHN",23.11.2024,,5:00,,319 cm,"8,83 m. ü. NHN",,,
STECHER OP,,693210,"84,40",,"0,48 m. ü. NHN",23.11.2024,,5:00,,601 cm,"6,49 m. ü. NHN",,,
LIEPE OP,,693230,"88,90",,"0,68 m. ü. NHN",23.11.2024,,5:00,,268 cm,"3,36 m. ü. NHN",,,
LIEPE UP,,693240,"88,90",,"0,68 m. ü. NHN",23.11.2024,,5:00,,49 cm,"1,17 m. ü. NHN",,,
 FULDA,,,,,,,,,,,,,,
BONAFORTH,,42900201,"3,61",,"117,68 m. ü. NHN",23.11.2024,,4:00,,262 cm,"120,30 m. ü. NHN",,,
GUNTERSHAUSEN,,42900100,"43,99",,"140,90 m. ü. NN",23.11.2024,,5:00,,156 cm,"142,46 m. ü. NN",,,
GREBENAU,,42700202,"55,49",,"151,01 m. ü. NHN",23.11.2024,,5:00,,187 cm,"152,88 m. ü. NHN",,,
ROTENBURG,,42700100,"95,69",,"179,52 m. ü. NHN",23.11.2024,,4:00,,212 cm,"181,64 m. ü. NHN",,,
 HAMME,,,,,,,,,,,,,,
RITTERHUDE,,4940030,"25,45",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,677 cm,"1,75 m. ü. NHN",,,
 HAVEL-ODER-WASSERSTRASSE,,,,,,,,,,,,,,
BERLIN-SPANDAU UP,,580310,"0,55",,"27,96 m. ü. NHN",23.11.2024,,5:00,,142 cm,"29,38 m. ü. NHN",,,
BERLIN-SPANDAU OP,,580300,"0,76",,"27,96 m. ü. NHN",23.11.2024,,5:00,,353 cm,"31,49 m. ü. NHN",,,
BORGSDORF,,581591,"20,30",,"28,94 m. ü. NHN",23.11.2024,,5:00,,256 cm,"31,50 m. ü. NHN",,,
LEHNITZ UP,,581590,"28,43",,"28,94 m. ü. NHN",23.11.2024,,5:00,,255 cm,"31,49 m. ü. NHN",,,
LEHNITZ OP,,581580,"28,75",,"28,94 m. ü. NHN",23.11.2024,,5:00,,846 cm,"37,40 m. ü. NHN",,,
NIEDERFINOW SHW OP,,692080,"77,43",,"28,96 m. ü. NHN",23.11.2024,,5:00,,846 cm,"37,41 m. ü. NHN",,,
NIEDERFINOW SHW UP,,692090,"77,97",,"0,68 m. ü. NHN",23.11.2024,,5:00,,49 cm,"1,17 m. ü. NHN",,,
HOHENSAATEN WEST BP,,603310,"92,72",,"-0,86 m. ü. NHN",23.11.2024,,5:00,,199 cm,"1,14 m. ü. NHN",,,
HOHENSAATEN WEST AP,,603400,"93,03",,"-0,86 m. ü. NHN",23.11.2024,,5:00,,137 cm,"0,52 m. ü. NHN",,,
SCHWEDT SCHLEUSE BP,,603410,"123,48",,"-5,02 m. ü. NHN",23.11.2024,,5:00,,557 cm,"0,55 m. ü. NHN",,,
FRIEDRICHSTHAL,,603420,"133,71",,"-5,01 m. ü. NHN",23.11.2024,,5:00,,555 cm,"0,54 m. ü. NHN",,,
 HAVELKANAL,,,,,,,,,,,,,,
SCHÖNWALDE OP,,587050,"8,68",,"27,99 m. ü. NHN",23.11.2024,,5:00,,351 cm,"31,50 m. ü. NHN",,,
SCHÖNWALDE UP,,587060,"9,00",,"27,99 m. ü. NHN",23.11.2024,,5:00,,135 cm,"29,34 m. ü. NHN",,,
 HUNTE,,,,,,,,,,,,,,
OLDENBURG-DRIELAKE,,4960030,"0,55",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,638 cm,"1,35 m. ü. NHN",,,
REITHÖRNE,,4960040,"7,60",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,650 cm,"1,47 m. ü. NHN",,,
HOLLERSIEL,,4960050,"11,54",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,662 cm,"1,62 m. ü. NHN",,,
BUTTELERHÖRNE,,4960060,"14,25",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,676 cm,"1,74 m. ü. NHN",,,
HUNTEBRÜCK,,4960070,"17,80",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,711 cm,"2,09 m. ü. NHN",,,
ELSFLETH OHRT,,4960080,"21,49",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,730 cm,"2,28 m. ü. NHN",,,
 ILMENAU,,,,,,,,,,,,,,
