Pegelname,,Pegelnummer,km,,PNP,Datum,,Uhrzeit,,Wasserstand,Wasserstand + PNP,,,
,,,,,,,,,,relativ zum PNP,absolut über Null,,,
ZEHDENICK OP,,580160,"16,06",,"41,24 m. ü. NHN",23.11.2024,,5:00,,448 cm,"45,72 m. ü. NHN",,,
BREDEREICHE UP,,580090,"47,63",,"46,50 m. ü. NHN",23.11.2024,,5:00,,208 cm,"48,57 m. ü. NHN",,,
BREDEREICHE OP,,580080,"47,99",,"46,50 m. ü. NHN",23.11.2024,,5:00,,506 cm,"51,55 m. ü. NHN",,,
FÜRSTENBERG UP,,580070,"60,66",,"50,22 m. ü. NHN",23.11.2024,,5:00,,135 cm,"51,57 m. ü. NHN",,,
FÜRSTENBERG OP,,580060,"60,80",,"51,24 m. ü. NHN",23.11.2024,,5:00,,185 cm,"53,09 m. ü. NHN",,,
WESENBERG UP,,580030,"81,72",,"52,47 m. ü. NHN",23.11.2024,,5:00,,243 cm,"54,90 m. ü. NHN",,,
WESENBERG OP,,580020,"81,80",,"54,68 m. ü. NHN",23.11.2024,,5:00,,259 cm,"57,27 m. ü. NHN",,,
VOSSWINKEL OP,,580000,"88,10",,"56,61 m. ü. NHN",23.11.2024,,5:00,,233 cm,"58,94 m. ü. NHN",,,
VOSSWINKEL UP,,580010,"89,99",,"55,55 m. ü. NHN",23.11.2024,,5:00,,174 cm,"57,29 m. ü. NHN",,,
 ODER,,,,,,,,,,,,,,
RATZDORF,,603140,"542,55",,"28,50 m. ü. NHN",23.11.2024,,5:00,,241 cm,"30,91 m. ü. NHN",,,
EISENHÜTTENSTADT,,603000,"554,14",,"25,16 m. ü. NHN",23.11.2024,,5:00,,255 cm,"27,71 m. ü. NHN",,,
FRANKFURT1 (ODER),,603031,"585,28",,"17,19 m. ü. NHN",23.11.2024,,5:00,,197 cm,"19,16 m. ü. NHN",,,
KIETZ,,603040,"614,79",,"8,66 m. ü. NHN",23.11.2024,,5:00,,251 cm,"11,17 m. ü. NHN",,,
KIENITZ,,603050,"632,92",,"5,18 m. ü. NHN",23.11.2024,,5:00,,281 cm,"7,98 m. ü. NHN",,,
HOHENSAATEN-FINOW,,603080,"664,95",,"0,15 m. ü. NHN",23.11.2024,,5:00,,280 cm,"2,95 m. ü. NHN",,,
STÜTZKOW,,603100,"680,65",,"-5,01 m. ü. NHN",23.11.2024,,5:00,,626 cm,"1,25 m. ü. NHN",,,
SCHWEDT-ODERBRÜCKE,,603130,"690,61",,"-5,01 m. ü. NHN",23.11.2024,,5:00,,581 cm,"0,80 m. ü. NHN",,,
 ORANIENBURGER HAVEL,,,,,,,,,,,,,,
OHV KM 1.467 (BLAUES WUNDER),,580272,"1,50",,"30,85 m. ü. NHN",23.11.2024,,5:00,,68 cm,"31,53 m. ü. NHN",,,
OHV KM 3.014 (HOCHSPANNUNG),,580271,"3,00",,"30,86 m. ü. NHN",23.11.2024,,5:00,,67 cm,"31,53 m. ü. NHN",,,
 ORANIENBURGER KANAL,,,,,,,,,,,,,,
SACHSENHAUSEN UP,,581840,"29,81",,"32,53 m. ü. NHN",23.11.2024,,5:00,,139 cm,"33,92 m. ü. NHN",,,
SACHSENHAUSEN OP,,580240,"29,82",,"32,53 m. ü. NHN",23.11.2024,,5:00,,190 cm,"34,43 m. ü. NHN",,,
 ORKE,,,,,,,,,,,,,,
DALWIGKSTHAL,,42840453,"11,41",,,23.11.2024,,4:00,,93 cm,,,,
 OSTE,,,,,,,,,,,,,,
BREMERVÖRDE UW,,5980010,"0,03",,"-5,00 m. ü. NN",23.11.2024,,5:03,,587 cm,"0,87 m. ü. NN",,,
HECHTHAUSEN,,5980030,"30,94",,,23.11.2024,,5:03,,605 cm,,,,
OSTE-SPERRWERK BP,,9000000532,"69,58",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,685 cm,"1,83 m. ü. NHN",,,
OSTE-SPERRWERK AP,,9000000590,"69,58",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,685 cm,"1,83 m. ü. NHN",,,
BELUM,,5980060,"69,89",,"-5,02 m. ü. NN",23.11.2024,,5:03,,686 cm,"1,83 m. ü. NN",,,
 OSTSEE,,,,,,,,,,,,,,
ALTHAGEN,,9650024,,,"-4,98 m. ü. NHN",23.11.2024,,5:05,,523 cm,"0,25 m. ü. NHN",,,
BARHÖFT,,9650040,,,"-4,98 m. ü. NHN",23.11.2024,,5:03,,530 cm,"0,32 m. ü. NHN",,,
WARNEMÜNDE,,9640015,"0,00",,"-4,98 m. ü. NHN",23.11.2024,,5:03,,515 cm,"0,17 m. ü. NHN",,,
BARTH,,9650030,"0,00",,"-4,98 m. ü. NHN",23.11.2024,,5:03,,525 cm,"0,27 m. ü. NHN",,,
STRALSUND,,9650043,"0,00",,"-4,98 m. ü. NHN",23.11.2024,,5:03,,524 cm,"0,27 m. ü. NHN",,,
STAHLBRODE,,9650070,"0,00",,"-4,97 m. ü. NHN",23.11.2024,,5:03,,520 cm,"0,23 m. ü. NHN",,,
WOLGAST,,9650080,"0,00",,"-4,97 m. ü. NHN",23.11.2024,,5:03,,527 cm,"0,30 m. ü. NHN",,,
NEUENDORF HAFEN,,9670046,"0,00",,"-4,98 m. ü. NHN",23.11.2024,,5:03,,527 cm,"0,29 m. ü. NHN",,,
KLOSTER,,9670050,"0,00",,"-4,97 m. ü. NHN",23.11.2024,,5:03,,525 cm,"0,28 m. ü. NHN",,,
WITTOWER FÄHRE,,9670055,"0,00",,"-4,97 m. ü. NHN",23.11.2024,,5:03,,531 cm,"0,34 m. ü. NHN",,,
LAUTERBACH,,9670063,"0,00",,"-4,97 m. ü. NHN",23.11.2024,,5:03,,520 cm,"0,23 m. ü. NHN",,,
SASSNITZ,,9670065,"0,00",,"-4,97 m. ü. NHN",23.11.2024,,5:03,,528 cm,"0,31 m. ü. NHN",,,
THIESSOW,,9670067,"0,00",,"-4,97 m. ü. NHN",23.11.2024,,5:03,,525 cm,"0,28 m. ü. NHN",,,
RUDEN,,9690077,"0,00",,"-4,97 m. ü. NHN",23.11.2024,,5:03,,525 cm,"0,28 m. ü. NHN",,,
GREIFSWALD OIE,,9690078,"0,00",,"-4,97 m. ü. NHN",23.11.2024,,5:03,,528 cm,"0,31 m. ü. NHN",,,
KARLSHAGEN,,9690085,"0,00",,"-4,96 m. ü. NHN",23.11.2024,,5:03,,528 cm,"0,32 m. ü. NHN",,,
KOSEROW,,9690093,"0,00",,"-4,97 m. ü. NHN",23.11.2024,,5:03,,528 cm,"0,31 m. ü. NHN",,,
GREIFSWALD-WIECK,,9650073,"1,00",,"-4,97 m. ü. NHN",23.11.2024,,5:03,,519 cm,"0,22 m. ü. NHN",,,
FLENSBURG,,9610010,"4,00",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,506 cm,"0,06 m. ü. NHN",,,
LANGBALLIGAU,,9610015,"35,00",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,510 cm,"0,09 m. ü. NHN",,,
LT KALKGRUND,,9610020,"61,50",,"-4,98 m. ü. NHN",23.11.2024,,5:03,,511 cm,"0,12 m. ü. NHN",,,
SCHLEIMÜNDE SP,,9610025,"78,00",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,510 cm,"0,10 m. ü. NHN",,,
TIMMENDORF POEL,,9630007,"100,00",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,516 cm,"0,16 m. ü. NHN",,,
WISMAR-BAUMHAUS,,9630008,"100,00",,"-5,01 m. ü. NHN",23.11.2024,,5:03,,512 cm,"0,11 m. ü. NHN",,,
HEILIGENHAFEN,,9610070,"123,00",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,511 cm,"0,11 m. ü. NHN",,,
KIEL-HOLTENAU,,9610066,"150,00",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,507 cm,"0,07 m. ü. NHN",,,
LT KIEL,,9610050,"177,75",,"-4,99 m. ü. NHN",23.11.2024,,5:03,,512 cm,"0,13 m. ü. NHN",,,
NEUSTADT,,9610080,"263,00",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,507 cm,"0,05 m. ü. NHN",,,
MARIENLEUCHTE,,9610075,"284,70",,"-5,00 m. ü. NHN",23.11.2024,,5:01,,512 cm,"0,12 m. ü. NHN",,,
KAPPELN,,9610035,"507,30",,"-4,99 m. ü. NHN",23.11.2024,,5:03,,504 cm,"0,05 m. ü. NHN",,,
SCHLESWIG,,9610040,"540,00",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,502 cm,"0,00 m. ü. NHN",,,
ECKERNFÖRDE,,9610045,"612,00",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,508 cm,"0,08 m. ü. NHN",,,
 PAREYER VERBINDUNGSKANAL,,,,,,,,,,,,,,
PAREY EP,,502300,"0,69",,"30,89 m. ü. NHN",23.11.2024,,5:00,,188 cm,"32,77 m. ü. NHN",,,
PAREY UP,,587530,"0,85",,"29,21 m. ü. NHN",23.11.2024,,5:00,,305 cm,"32,26 m. ü. NHN",,,
 PEENE,,,,,,,,,,,,,,
AALBUDE,,9660009,"14,90",,"-5,18 m. ü. NHN",23.11.2024,,5:04,,549 cm,"0,32 m. ü. NHN",,,
DEMMIN,,9660007,"31,80",,"-5,01 m. ü. NHN",23.11.2024,,5:03,,539 cm,"0,38 m. ü. NHN",,,
JARMEN,,9660005,"61,70",,"-5,01 m. ü. NHN",23.11.2024,,5:04,,535 cm,"0,34 m. ü. NHN",,,
ANKLAM,,9660001,"89,80",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,537 cm,"0,36 m. ü. NHN",,,
 PINNAU,,,,,,,,,,,,,,
UETERSEN,,5970016,"9,51",,"-5,04 m. ü. NHN",23.11.2024,,5:03,,613 cm,"1,09 m. ü. NHN",,,
PINNAU-SPERRWERK BP,,5970018,"18,10",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,624 cm,"1,21 m. ü. NHN",,,
 POTSDAMER HAVEL,,,,,,,,,,,,,,
POTSDAM,,580412,"26,63",,"28,43 m. ü. NHN",23.11.2024,,5:00,,93 cm,"29,36 m. ü. NHN",,,
 RHEIN,,,,,,,,,,,,,,
KONSTANZ-RHEIN,,3329,"0,47",,,23.11.2024,,5:00,,309 cm,,,,
BASEL-RHEINHALLE,,2310010,"164,30",,"240,00 mü.M.",23.11.2024,,4:50,,546 cm,"245,46 mü.M.",,,
RHEINWEILER,,23300130,"186,20",,"217,29 m. ü. NHN",23.11.2024,,5:00,,197 cm,"219,26 m. ü. NHN",,,
BREISACH,,23300320,"227,60",,"184,52 m. ü. NHN",23.11.2024,,5:00,,199 cm,"186,50 m. ü. NHN",,,
RUST,,23300580,"254,20",,"161,51 m. ü. NHN",23.11.2024,,5:00,,81 cm,"162,32 m. ü. NHN",,,
OTTENHEIM,,23300800,"270,60",,"147,32 m. ü. NHN",23.11.2024,,5:00,,300 cm,"150,32 m. ü. NHN",,,
KEHL-KRONENHOF,,23300900,"292,20",,"133,02 m. ü. NHN",23.11.2024,,5:00,,215 cm,"135,17 m. ü. NHN",,,
IFFEZHEIM,,23500600,"336,20",,"110,02 m. ü. NHN",23.11.2024,,5:00,,208 cm,"112,10 m. ü. NHN",,,
PLITTERSDORF,,23500700,"340,20",,"106,71 m. ü. NHN",23.11.2024,,5:00,,378 cm,"110,49 m. ü. NHN",,,
MAXAU,,23700200,"362,33",,"97,72 m. ü. NHN",23.11.2024,,5:00,,477 cm,"102,49 m. ü. NHN",,,
PHILIPPSBURG,,23700500,"389,33",,"90,56 m. ü. NHN",23.11.2024,,5:00,,380 cm,"94,36 m. ü. NHN",,,
SPEYER,,23700600,"400,60",,"88,47 m. ü. NHN",23.11.2024,,5:00,,346 cm,"91,93 m. ü. NHN",,,
MANNHEIM,,23700700,"424,73",,"85,12 m. ü. NHN",23.11.2024,,5:00,,278 cm,"87,90 m. ü. NHN",,,
WORMS,,23900200,"443,40",,"84,11 m. ü. NHN",23.11.2024,,5:00,,185 cm,"85,96 m. ü. NHN",,,
NIERSTEIN-OPPENHEIM,,23900600,"480,61",,"80,17 m. ü. NHN",23.11.2024,,5:00,,270 cm,"82,87 m. ü. NHN",,,
BODENHEIM,,23900620,"489,00",,"78,76 m. ü. NHN",23.11.2024,,4:45,,337 cm,"82,13 m. ü. NHN",,,
MAINZ,,25100100,"498,27",,"78,37 m. ü. NHN",23.11.2024,,5:00,,304 cm,"81,41 m. ü. NHN",,,
OESTRICH,,25100300,"518,08",,"77,56 m. ü. NHN",23.11.2024,,5:00,,199 cm,"79,55 m. ü. NHN",,,
BINGEN,,25300200,"528,36",,"76,18 m. ü. NHN",23.11.2024,,5:00,,213 cm,"78,31 m. ü. NHN",,,
KAUB,,25700100,"546,30",,"67,67 m. ü. NHN",23.11.2024,,5:00,,234 cm,"70,01 m. ü. NHN",,,
SANKT GOAR,,25700300,"556,43",,"63,75 m. ü. NHN",23.11.2024,,5:00,,346 cm,"67,21 m. ü. NHN",,,
BOPPARD,,25700500,"570,45",,"61,57 m. ü. NHN",23.11.2024,,5:00,,279 cm,"64,36 m. ü. NHN",,,
BRAUBACH,,25700600,"579,98",,"59,61 m. ü. NHN",23.11.2024,,5:00,,301 cm,"62,62 m. ü. NHN",,,
KOBLENZ,,25900700,"591,49",,"57,69 m. ü. NHN",23.11.2024,,5:00,,296 cm,"60,65 m. ü. NHN",,,
NEUWIED STADT,,27100370,"608,04",,"52,86 m. ü. NHN",23.11.2024,,5:00,,331 cm,"56,17 m. ü. NHN",,,
ANDERNACH,,27100400,"613,78",,"51,50 m. ü. NHN",23.11.2024,,5:00,,367 cm,"55,17 m. ü. NHN",,,
OBERWINTER,,27100700,"638,19",,"47,22 m. ü. NHN",23.11.2024,,5:00,,327 cm,"50,49 m. ü. NHN",,,
BONN,,2710080,"654,80",,"42,71 m. ü. NHN",23.11.2024,,5:00,,410 cm,"46,81 m. ü. NHN",,,
KÖLN,,2730010,"688,00",,"35,04 m. ü. NHN",23.11.2024,,5:00,,430 cm,"39,34 m. ü. NHN",,,
DÜSSELDORF,,2750010,"744,20",,"24,53 m. ü. NHN",23.11.2024,,5:00,,393 cm,"28,46 m. ü. NHN",,,
DUISBURG-RUHRORT,,2770010,"780,80",,"16,11 m. ü. NHN",23.11.2024,,5:00,,540 cm,"21,51 m. ü. NHN",,,
WESEL,,2770040,"814,00",,"11,21 m. ü. NHN",23.11.2024,,5:00,,504 cm,"16,25 m. ü. NHN",,,
REES,,2790010,"837,40",,"8,74 m. ü. NHN",23.11.2024,,4:45,,428 cm,"13,02 m. ü. NHN",,,
EMMERICH,,2790020,"851,90",,"8,00 m. ü. NHN",23.11.2024,,5:00,,360 cm,"11,60 m. ü. NHN",,,
 RHEIN-HERNE-KANAL,,,,,,,,,,,,,,
DUISBURG-MEIDERICH SCHLEUSE OW,,27700262,"0,87",,,23.11.2024,,4:02,,,"25,04 m+NN",,,
DUISBURG-MEIDERICH SCHLEUSE UW,,27700273,"1,10",,,23.11.2024,,4:02,,,"21,57 m+NN",,,
OBERHAUSEN SCHLEUSE UW,,27700251,"5,19",,,23.11.2024,,4:02,,,"24,97 m+NN",,,
OBERHAUSEN SCHLEUSE OW,,27700240,"5,73",,,23.11.2024,,4:02,,,"29,04 m+NN",,,
GELSENKIRCHEN SCHLEUSE UW,,27700230,"23,07",,,23.11.2024,,4:02,,,"29,12 m+NN",,,
GELSENKIRCHEN SCHLEUSE OW,,27700229,"23,57",,,23.11.2024,,4:45,,,"35,23 m+NN",,,
WANNE EICKEL SCHLEUSE UW,,27700218,"30,91",,,23.11.2024,,2:30,,,"35,27 m+NN",,,
WANNE EICKEL SCHLEUSE OW,,27700193,"31,47",,,23.11.2024,,4:45,,,"43,74 m+NN",,,
HERNE UW,,27700160,"36,83",,,23.11.2024,,3:02,,,"43,80 m+NN",,,
HERNE OW,,27700150,"37,35",,,23.11.2024,,3:02,,,"56,53 m+NN",,,
 RHEINSBERGER GEWÄSSER,,,,,,,,,,,,,,
WOLFSBRUCH OP,,589000,"2,28",,"54,08 m. ü. NHN",23.11.2024,,5:00,,231 cm,"56,39 m. ü. NHN",,,
WOLFSBRUCH UP,,589010,"2,47",,"54,08 m. ü. NHN",23.11.2024,,5:00,,Picture,"55,70 m. ü. NHN",,,
,,,,,,,,,,162 cm,,,,
 ROTHENSEER-VERBINDUNGSKANAL,,,,,,,,,,,,,,
SCHLEUSE ROTHENSEE UP,,3101016,"1,30",,"35,57 m. ü. NHN",23.11.2024,,5:00,,432 cm,"39,89 m. ü. NHN",,,
MAGDEBURG-RO NWS,,13101016,"4,15",,,23.11.2024,,5:00,,357 cm,,,,
 RUHR,,,,,,,,,,,,,,
RUHRWEHR OW,,27600090,"2,96",,,23.11.2024,,4:02,,,"25,00 m+NN",,,
SCHLOSSBRÜCKE MÜLHEIM,,27600030,"12,18",,,22.11.2024,,8:12,,,"32,04 m+NN",,,
HATTINGEN,,2.76951E+12,"56,90",,,23.11.2024,,4:00,,335 cm,,,,
 RÜDERSDORFER GEWÄSSER,,,,,,,,,,,,,,
WOLTERSDORF UP,,586050,"3,71",,"31,45 m. ü. NHN",23.11.2024,,5:00,,94 cm,"32,39 m. ü. NHN",,,
WOLTERSDORF OP,,586040,"3,89",,"31,45 m. ü. NHN",23.11.2024,,5:00,,304 cm,"34,49 m. ü. NHN",,,
 SAALE,,,,,,,,,,,,,,
GROSS ROSENBURG,,570950,"9,64",,"47,79 m. ü. NHN",23.11.2024,,5:00,,231 cm,"50,10 m. ü. NHN",,,
CALBE GRIZEHNE,,570940,"17,43",,"49,37 m. ü. NHN",23.11.2024,,5:00,,278 cm,"52,15 m. ü. NHN",,,
CALBE UP,,570930,"19,67",,"48,10 m. ü. NHN",23.11.2024,,5:00,,420 cm,"52,30 m. ü. NHN",,,
CALBE OP,,570920,"20,08",,"52,50 m. ü. NHN",23.11.2024,,5:00,,355 cm,"56,05 m. ü. NHN",,,
NIENBURG (SAALE),,579100,"27,90",,"54,68 m. ü. NHN",23.11.2024,,5:00,,147 cm,"56,15 m. ü. NHN",,,
BERNBURG UP,,570910,"36,05",,"55,12 m. ü. NHN",23.11.2024,,5:00,,148 cm,"56,60 m. ü. NHN",,,
BERNBURG OP,,570900,"36,20",,"55,12 m. ü. NHN",22.11.2024,,6:00,,488 cm,"60,01 m. ü. NHN",,,
ALSLEBEN UP,,570880,"50,24",,"59,04 m. ü. NHN",23.11.2024,,4:45,,157 cm,"60,61 m. ü. NHN",,,
ALSLEBEN OP,,570870,"50,42",,"61,93 m. ü. NHN",23.11.2024,,5:00,,243 cm,"64,36 m. ü. NHN",,,
ROTHENBURG UP,,570860,"58,60",,"61,04 m. ü. NHN",23.11.2024,,5:00,,359 cm,"64,63 m. ü. NHN",,,
ROTHENBURG OP,,570850,"58,78",,"64,14 m. ü. NHN",23.11.2024,,5:00,,334 cm,"67,48 m. ü. NHN",,,
WETTIN UP,,570840,"70,30",,"64,26 m. ü. NHN",23.11.2024,,5:00,,355 cm,"67,81 m. ü. NHN",,,
WETTIN OP,,570830,"70,47",,"67,14 m. ü. NHN",23.11.2024,,5:00,,370 cm,"70,84 m. ü. NHN",,,
TROTHA UP,,570810,"89,15",,"69,36 m. ü. NHN",23.11.2024,,5:00,,197 cm,"71,33 m. ü. NHN",,,
TROTHA OP,,570800,"89,22",,"71,25 m. ü. NHN",23.11.2024,,5:00,,251 cm,"73,76 m. ü. NHN",,,
RÖPZIG,,570710,"101,90",,"77,08 m. ü. NHN",23.11.2024,,5:00,,68 cm,"77,76 m. ü. NHN",,,
RISCHMÜHLE UP,,570630,"115,19",,"81,65 m. ü. NHN",23.11.2024,,5:00,,230 cm,"83,95 m. ü. NHN",,,
RISCHMÜHLE OP,,570620,"115,26",,"82,65 m. ü. NHN",23.11.2024,,5:00,,279 cm,"85,44 m. ü. NHN",,,
 SAAR,,,,,,,,,,,,,,
SCHODEN UP,,26400750,"7,66",,,23.11.2024,,5:00,,361 cm,,,,
SERRIG UP,,26400670,"18,22",,,23.11.2024,,5:00,,232 cm,,,,
METTLACH UP,,26400600,"30,92",,,23.11.2024,,5:00,,222 cm,,,,
FREMERSDORF,,26400550,"48,51",,"165,50 m. ü. NN",23.11.2024,,5:00,,232 cm,"167,82 m. ü. NN",,,
REHLINGEN UP,,26400500,"53,86",,,23.11.2024,,5:00,,250 cm,,,,
LISDORF UP,,26400400,"65,89",,,23.11.2024,,5:00,,215 cm,,,,
WESTSPANGE,,26400240,"86,52",,,23.11.2024,,5:00,,199 cm,,,,
SANKT ARNUAL,,26400220,"90,91",,"183,25 m. ü. NN",23.11.2024,,5:00,,207 cm,"185,32 m. ü. NN",,,
HANWEILER,,26400100,"104,60",,,23.11.2024,,5:00,,265 cm,,,,
 SCHWEDTER QUERFAHRT,,,,,,,,,,,,,,
SCHWEDT SCHLEUSE AP,,603110,"0,47",,"-5,01 m. ü. NHN",23.11.2024,,5:00,,566 cm,"0,65 m. ü. NHN",,,
 SPREE-ODER-WASSERSTRASSE,,,,,,,,,,,,,,
BERLIN-CHARLOTTENBURG UP,,582750,"6,24",,"27,99 m. ü. NHN",23.11.2024,,5:00,,139 cm,"29,38 m. ü. NHN",,,
BERLIN-CHARLOTTENBURG OP,,582740,"6,44",,"27,99 m. ü. NHN",23.11.2024,,5:00,,277 cm,"30,76 m. ü. NHN",,,
BERLIN-MÜHLENDAMM UP,,582730,"17,70",,"28,00 m. ü. NHN",23.11.2024,,5:00,,273 cm,"30,73 m. ü. NHN",,,
BERLIN-MÜHLENDAMM OP,,582720,"17,90",,"28,00 m. ü. NHN",23.11.2024,,5:00,,432 cm,"32,32 m. ü. NHN",,,
BERLIN-KÖPENICK,,586290,"35,02",,"31,49 m. ü. NHN",23.11.2024,,5:00,,88 cm,"32,37 m. ü. NHN",,,
WERNSDORF UP,,585930,"47,46",,"30,28 m. ü. NHN",23.11.2024,,5:00,,210 cm,"32,38 m. ü. NHN",,,
WERNSDORF OP,,585920,"47,74",,"30,28 m. ü. NHN",23.11.2024,,5:00,,663 cm,"36,91 m. ü. NHN",,,
FÜRSTENWALDE UP,,582650,"74,70",,"36,38 m. ü. NHN",23.11.2024,,5:00,,56 cm,"36,94 m. ü. NHN",,,
FÜRSTENWALDE OP,,582640,"74,80",,"36,38 m. ü. NHN",23.11.2024,,5:00,,163 cm,"38,01 m. ü. NHN",,,
KERSDORF UP,,585950,"89,66",,"35,83 m. ü. NHN",23.11.2024,,5:00,,225 cm,"38,08 m. ü. NHN",,,
KERSDORF OP,,585940,"89,86",,"38,83 m. ü. NHN",23.11.2024,,5:00,,213 cm,"40,96 m. ü. NHN",,,
EISENHÜTTENSTADT SCHL. OP,,690050,"127,20",,"38,82 m. ü. NHN",23.11.2024,,4:45,,215 cm,"40,97 m. ü. NHN",,,
EISENHÜTTENSTADT SCHL. UP,,603020,"127,50",,"25,32 m. ü. NHN",23.11.2024,,4:45,,261 cm,"27,93 m. ü. NHN",,,
 STORKOWER GEWAESSER,,,,,,,,,,,,,,
KUMMERSDORF UP,,586360,"10,21",,"32,25 m. ü. NHN",23.11.2024,,5:00,,150 cm,"33,75 m. ü. NHN",,,
KUMMERSDORF OP,,586350,"10,40",,"32,25 m. ü. NHN",23.11.2024,,5:00,,261 cm,"34,86 m. ü. NHN",,,
STORKOW UP,,586340,"15,39",,"32,28 m. ü. NHN",23.11.2024,,5:00,,259 cm,"34,87 m. ü. NHN",,,
STORKOW OP,,586330,"15,56",,"32,29 m. ü. NHN",23.11.2024,,5:00,,460 cm,"36,89 m. ü. NHN",,,
WENDISCH RIETZ UP,,586320,"22,71",,"32,29 m. ü. NHN",23.11.2024,,5:00,,458 cm,"36,87 m. ü. NHN",,,
WENDISCH RIETZ OP,,586310,"22,77",,"32,29 m. ü. NHN",23.11.2024,,5:00,,612 cm,"38,41 m. ü. NHN",,,
 STÖR,,,,,,,,,,,,,,
GRÖNHUDE,,5970037,"5,10",,"-5,01 m. ü. NHN",23.11.2024,,5:03,,615 cm,"1,14 m. ü. NHN",,,
BREITENBERG,,5970038,"11,90",,"-5,01 m. ü. NHN",23.11.2024,,5:03,,574 cm,"0,73 m. ü. NHN",,,
ITZEHOE HAFEN,,5970042,"24,88",,"-5,01 m. ü. NHN",23.11.2024,,5:03,,597 cm,"0,96 m. ü. NHN",,,
STÖR-SPERRWERK BP,,5970040,"50,20",,"-5,03 m. ü. NHN",23.11.2024,,5:03,,657 cm,"1,54 m. ü. NHN",,,
 STÖR-WASSERSTRASSE,,,,,,,,,,,,,,
BANZKOW UP,,596930,"10,85",,"35,79 m. ü. NHN",23.11.2024,,5:00,,100 cm,"36,79 m. ü. NHN",,,
BANZKOW OP,,596920,"11,00",,"36,69 m. ü. NHN",23.11.2024,,5:00,,99 cm,"37,68 m. ü. NHN",,,
SCHWERIN WERDERBRÜCKE,,596900,"26,06",,"36,69 m. ü. NHN",23.11.2024,,4:45,,103 cm,"37,72 m. ü. NHN",,,
 TELTOWKANAL,,,,,,,,,,,,,,
KLEINMACHNOW UP,,587030,"8,28",,"26,95 m. ü. NHN",23.11.2024,,5:00,,241 cm,"29,36 m. ü. NHN",,,
KLEINMACHNOW OP,,587020,"8,42",,"30,25 m. ü. NHN",23.11.2024,,5:00,,208 cm,"32,33 m. ü. NHN",,,
 TEMPLINER GEWÄSSER,,,,,,,,,,,,,,
KANNENBURG UP,,581230,"3,57",,"45,12 m. ü. NHN",23.11.2024,,5:00,,60 cm,"45,72 m. ü. NHN",,,
KANNENBURG OP,,581220,"3,63",,"45,12 m. ü. NHN",23.11.2024,,5:00,,220 cm,"47,32 m. ü. NHN",,,
TEMPLIN UP,,581210,"13,29",,"46,84 m. ü. NHN",23.11.2024,,5:00,,51 cm,"47,35 m. ü. NHN",,,
TEMPLIN OP,,581200,"13,34",,"46,84 m. ü. NHN",23.11.2024,,5:00,,479 cm,"51,63 m. ü. NHN",,,
 TRAVE,,,,,,,,,,,,,,
LÜBECK-BAUHOF,,9620090,"7,79",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,499 cm,"-0,03 m. ü. NHN",,,
TRAVEMÜNDE,,9620085,"26,20",,"-5,02 m. ü. NHN",23.11.2024,,5:03,,511 cm,"0,08 m. ü. NHN",,,
 TREENE,,,,,,,,,,,,,,
FRIEDRICHSTADT TREENE,,9520061,"0,00",,"-5,00 m. ü. NHN",23.11.2024,,5:03,,499 cm,"-0,01 m. ü. NHN",,,
 UNTERE HAVEL-WASSERSTRASSE,,,,,,,,,,,,,,
KETZIN,,580430,"34,05",,"28,39 m. ü. NHN",23.11.2024,,5:00,,92 cm,"29,31 m. ü. NHN",,,
BRANDENBURG OP,,580440,"55,12",,"27,11 m. ü. NHN",23.11.2024,,5:00,,213 cm,"29,24 m. ü. NHN",,,
BRANDENBURG UP,,580450,"56,00",,"27,11 m. ü. NHN",23.11.2024,,5:00,,105 cm,"28,16 m. ü. NHN",,,
PLAUE OP,,587560,"67,80",,"29,98 m. ü. NHN",23.11.2024,,5:00,,76 cm,"30,74 m. ü. NHN",,,
PLAUE UP,,580600,"68,00",,"26,36 m. ü. NHN",23.11.2024,,5:00,,181 cm,"28,17 m. ü. NHN",,,
TIECKOW,,580601,"76,33",,"25,93 m. ü. NHN",23.11.2024,,5:00,,218 cm,"28,11 m. ü. NHN",,,
BAHNITZ OP,,580620,"81,79",,"25,94 m. ü. NHN",23.11.2024,,5:00,,217 cm,"28,11 m. ü. NHN",,,
BAHNITZ UP,,580630,"82,11",,"25,94 m. ü. NHN",23.11.2024,,5:00,,151 cm,"27,45 m. ü. NHN",,,
RATHENOW OP,,580640,"102,86",,"24,52 m. ü. NHN",23.11.2024,,5:00,,279 cm,"27,30 m. ü. NHN",,,
